ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
58248,1.691,0.969,0.264,Mexican,3,0,6,0
58253,1.881,0.929,0.239,Mexican,3,0,1,2
58263,1.147,1.173,NA,Portugal 2,4,0,1,1
58268,1.452,0.908,NA,Portugal 2,4,0,0,2
58273,1.349,1.141,0.299,Mexican,3,0,2,0
58278,1.403,1.117,0.298,Mexican,3,0,1,1
58858,1.166,1.364,NA,Scot. FA Cup,5,0,0,0
58863,2.582,0.748,NA,Braz Mineiro,5,0,2,1
58868,0.973,1.826,0.236,Scot. FA Cup,5,0,0,0
58908,1.197,1.083,0.289,Eng L1      ,3,0,1,0
58913,1.499,0.851,0.276,Eng L1      ,3,0,3,0
58923,1.324,1.336,0.301,Eng L1      ,3,0,2,1
58933,1.332,1.028,0.284,Eng L1      ,3,0,1,1
58938,1.678,0.962,0.254,Eng L1      ,3,0,3,2
58953,1.234,1.076,0.3,Eng L1      ,3,0,1,0
58968,1.827,0.993,0.255,Eng. Chship,2,0,0,0
58988,1.242,1.158,0.291,Eng. Chship,2,0,0,1
58993,1.536,1.134,0.279,Eng. Chship,2,0,2,4
58998,1.584,0.936,0.273,Eng. Chship,2,0,3,0
59003,1.346,0.994,0.283,Eng. Chship,2,0,1,1
59008,1.325,1.055,0.299,Eng. Chship,2,0,0,1
59013,1.296,1.264,0.285,Eng. Chship,2,0,0,0
59023,1.317,1.113,0.279,Eng. Chship,2,0,0,0
59028,1.658,0.892,0.278,Serie B,2.5,0,0,0
59033,1.24,1.01,0.322,Serie B,2.5,0,0,2
59038,1.004,1.355,0.341,Serie B,2.5,0,1,2
59048,1.397,0.963,0.34,Serie B,2.5,0,4,0
59053,1.339,1.011,0.331,Serie B,2.5,0,0,0
59063,1.97,0.639,0.213,Serie B,2.5,0,3,1
59068,1.498,1.002,0.315,Serie B,2.5,0,2,1
59078,1.825,0.794,0.25,Serie B,2.5,0,3,1
59218,1.335,0.985,0.292,Copa Liber.,2,0,4,3
59223,1.989,0.991,0.26,Copa Liber.,2,0,1,0
59463,2.05,0.94,NA,Chilean,4,0,0,2
59468,1.326,1.703,NA,Chilean,4,0,0,0
59473,1.018,1.881,NA,Chilean,4,0,0,2
59528,1.162,1.378,NA,Turkey Cup,4,0,0,1
59538,0.919,1.74,NA,Turkey Cup,4,0,1,0
59543,0.899,1.61,0.29,La Liga,1,0,2,0
59583,1.141,0.829,NA,Serie C1 B,5,0,1,0
59593,1.646,1.004,0.282,La Liga,1,0,1,0
59598,1.427,1.103,0.283,La Liga,1,0,0,2
59603,1.128,1.412,0.293,La Liga,1,0,1,2
59978,1.972,0.988,NA,E Club Frien,5,0,1,1
59993,2.215,1.265,NA,Carioca,5,0,1,1
60003,2.399,0.822,NA,Carioca,5,0,2,0
60008,2.318,0.953,NA,Carioca,5,0,2,1
60023,2.79,0.964,NA,Carioca,5,0,1,1
60028,1.342,1.548,NA,Carioca,5,0,2,3
60058,2.599,1.033,NA,Carioca,5,0,4,0
60063,2.749,0.844,NA,Carioca,5,0,6,1
60068,1.434,1.456,NA,Carioca,5,0,1,4
60143,1.561,1.339,NA,E Club Frien,5,0,1,0
60168,2.439,0.831,0.184,Scot Premier,3,0,4,2
60183,0.576,2.031,0.225,UEFA Cup,1,0,2,2
60188,1.255,1.075,NA,Club Friendl,5,0,0,2
60213,0.918,1.301,0.31,UEFA Cup,1,0,1,3
60218,0.942,1.487,0.288,UEFA Cup,1,0,0,1
60223,0.849,1.68,0.273,UEFA Cup,1,0,1,2
60228,0.978,1.161,0.299,UEFA Cup,1,0,1,0
60238,1.063,1.757,NA,EngFA Trophy,5,0,0,2
60248,1.422,1.368,NA,Eng. Conf. N,5,0,1,0
60253,1.619,1.281,NA,Eng. Conf.,5,0,0,0
60278,2.25,1.051,NA,Braz  Gaucho,5,0,0,1
60313,1.106,1.673,NA,Paulista,5,0,0,0
60318,2.279,0.831,NA,Paulista,5,0,0,0
60328,1.405,1.505,NA,Paulista,5,0,1,0
60338,1.433,1.297,NA,Paulista,5,0,0,0
60343,1.936,0.984,NA,Paulista,5,0,3,1
60348,1.835,1.105,NA,Paulista,5,0,0,3
60388,1.906,1.164,NA,Paulista,5,0,3,0
60393,1.272,1.548,NA,Paulista,5,0,1,1
60398,1.662,1.188,NA,Paulista,5,0,3,1
60403,1.773,1.127,NA,Paulista,5,0,1,0
60408,1.271,1.589,NA,Paulista,5,0,0,2
60418,1.919,1.011,NA,Paulista,5,0,1,2
60503,1.521,1.049,NA,Finland Cup,5,0,6,4
60573,1.335,1.785,NA,E Club Frien,5,0,0,1
60588,1.632,0.656,NA,E Club Frien,5,0,0,0
60608,1.376,1.474,NA,La Manga Cup,5,0,0,2
60803,1.261,1.009,NA,French 2,3,0,0,0
60808,1.3,0.789,NA,French 2,3,0,1,0
60813,0.845,1.494,NA,French 2,3,0,3,4
60818,1.175,1.035,NA,French 2,3,0,2,2
60823,1.109,1.181,NA,French 2,3,0,0,1
60828,1.108,0.962,NA,French 2,3,0,2,1
60838,3.031,0.792,0.124,Dutch 1,2,0,6,2
